title,directors,cast,image_urls,trailer_url,where_to_watch_urls
The New Year That Never Came,Bogdan Muresanu,"Adrian Vancica, Nicoleta Hâncu, Emilia Dobrin, Marian Adochitei, Virgil Aioanei, Afrodita Andone, Mircea Andreescu, Iulian Burciu, Florin Calbajos, Mihai Calin, Doru Catanescu, Sorin Cocis, Marius Damian, Elvira Deatcu, Ioana Flora",https://m.media-amazon.com/images/M/MV5BZWUyOTQ5YmMtNjRkMC00NDU1LWFlZTYtOTJkMTAzNjEyYmVmXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYjc2ZDVjYWUtZDQzMy00NWFiLTgxNjYtNTFlOWJhODJjZjAzXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNzAzODY4ZmEtNmE4OC00OTQyLWIwZTMtZDQyZTVhZDRkZWRiXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMzc3MzEwNTctZjNmMS00N2Y0LThjMGItMjVjZTk1NjkwMjgyXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNTYzNDZlMmEtNDkyZC00ODY5LTg2Y2QtNDA4NjYwZmJmYTRkXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=_xLEClUljJQ,Not found
The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy, Chin Han, Nestor Carbonell, Eric Roberts, Ritchie Coster, Anthony Michael Hall",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNWJkYWJlOWMtY2ZhZi00YWM0LTliZDktYmRiMGYwNzczMTZhXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNWJkYWJlOWMtY2ZhZi00YWM0LTliZDktYmRiMGYwNzczMTZhXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BOTRhM2IzY2YtNTgxZi00YjE2LWIwOTQtNGVkYTkxNGYwYWE3XkEyXkFqcGdeQW1hZGV0aXNj._V1_.jpg; https://m.media-amazon.com/images/M/MV5BOTRhM2IzY2YtNTgxZi00YjE2LWIwOTQtNGVkYTkxNGYwYWE3XkEyXkFqcGdeQW1hZGV0aXNj._V1_.jpg,https://www.youtube.com/watch?v=EXeTwQWrcwY,"https://www.amazon.com/Dark-Knight-Christian-Bale/dp/B001I189MQ, https://www.hulu.com/movie/the-dark-knight-2ce6365a-46e7-43d9-8d77-5b84753a663c"
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTQ1ZmIzOTAtNDcwZi00NDVkLWE4NWItYWNhZGY1MmVlZGU0XkEyXkFqcGdeQWRvb2xpbmhk._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTQ1ZmIzOTAtNDcwZi00NDVkLWE4NWItYWNhZGY1MmVlZGU0XkEyXkFqcGdeQWRvb2xpbmhk._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNTdlZGFmMDQtM2RiYi00NzUxLThhZWQtN2M4ZmYwMzllZGYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNTdlZGFmMDQtM2RiYi00NzUxLThhZWQtN2M4ZmYwMzllZGYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.youtube.com/watch?v=YoHD9XEInc0,"https://www.primevideo.com/detail/Inception/0KN3PDZAGPSCED6GLROBJP5A5X, https://www.netflix.com/lu-en/title/70131314"
The Matrix,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray",https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNDQ4NTRmN2ItYjgzMS00MzY3LWEwNmYtYmE2ODllZDdhNGI1XkEyXkFqcGdeQXdvbmtpbQ@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BODRlZmY0NzktNTUyNi00OGRlLTgyOTMtYzQ2MDQ1OTUzZjEwXkEyXkFqcGdeQVRoaXJkUGFydHlJbmdlc3Rpb25Xb3JrZmxvdw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNDQ4NTRmN2ItYjgzMS00MzY3LWEwNmYtYmE2ODllZDdhNGI1XkEyXkFqcGdeQXdvbmtpbQ@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNDQ4NTRmN2ItYjgzMS00MzY3LWEwNmYtYmE2ODllZDdhNGI1XkEyXkFqcGdeQXdvbmtpbQ@@._V1_.jpg,https://www.youtube.com/watch?v=vKQi3bBA1y8,https://www.netflix.com/ba/title/20557937
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Billy Boyd, Andy Serkis, Marton Csokas, Viggo Mortensen, Orlando Bloom, Megan Edwards, Michael Elsworth, Cate Blanchett, Mark Ferguson, Ian Holm",https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMzQ2YjI2YzgtZmNmMy00ZjUyLWE0NGItY2Y3NjUzZWM4NmM3XkEyXkFqcGdeQWxiaWFtb250._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMzQ2YjI2YzgtZmNmMy00ZjUyLWE0NGItY2Y3NjUzZWM4NmM3XkEyXkFqcGdeQWxiaWFtb250._V1_.jpg; https://m.media-amazon.com/images/M/MV5BODk1MzkwNTA4N15BMl5BanBnXkFtZTgwOTU1ODY3MjI@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BODk1MzkwNTA4N15BMl5BanBnXkFtZTgwOTU1ODY3MjI@._V1_.jpg,https://www.youtube.com/watch?v=V75dMMIW2B4,https://www.primevideo.com/detail/The-Lord-of-the-Rings-The-Fellowship-of-the-Ring/0N0CRBLY1S5GDA4EVTQ34LF5GN
The Dark Knight Rises,Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway, Marion Cotillard, Morgan Freeman, Michael Caine, Matthew Modine, Alon Abutbul, Ben Mendelsohn, Burn Gorman, Daniel Sunjata, Aidan Gillen, Sam Kennard",https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMGIwYmIwNWYtNzkxZC00YTdmLWI2NmMtYzA0ODZkNTNlZWMwXkEyXkFqcGdeQWFuaW5vc2M@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMGIwYmIwNWYtNzkxZC00YTdmLWI2NmMtYzA0ODZkNTNlZWMwXkEyXkFqcGdeQWFuaW5vc2M@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTM2MjAxODE2MV5BMl5BanBnXkFtZTcwMDQ3ODgwOA@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTM2MjAxODE2MV5BMl5BanBnXkFtZTcwMDQ3ODgwOA@@._V1_.jpg,https://www.youtube.com/watch?v=g8evyE9TuYk,https://www.netflix.com/kr-en/title/70213514
Gladiator,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana, Ralf Moeller, Spencer Treat Clark, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen",https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTU1NTQ0OTkyNF5BMl5BanBnXkFtZTgwMTQzMjIwMDI@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTU1NTQ0OTkyNF5BMl5BanBnXkFtZTgwMTQzMjIwMDI@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZmYyMDQ5OWItMGZlYi00MDU1LWE4MmMtNTVhYTIwYjE0M2Q3XkEyXkFqcGdeQVRoaXJkUGFydHlJbmdlc3Rpb25Xb3JrZmxvdw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZmYyMDQ5OWItMGZlYi00MDU1LWE4MmMtNTVhYTIwYjE0M2Q3XkEyXkFqcGdeQVRoaXJkUGFydHlJbmdlc3Rpb25Xb3JrZmxvdw@@._V1_.jpg,https://www.youtube.com/watch?v=P5ieIbInFpg,"https://www.primevideo.com/detail/Gladiator/0TISNLNDTS29PHKMC3DUWISVLC, https://www.hulu.com/movie/gladiator-2379bace-e85c-4ca5-9621-63b77ed5f176"
Batman Begins,Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Rutger Hauer, Linus Roache, Mark Boone Junior, Ken Watanabe, Morgan Freeman, Larry Holden, Gerard Murphy, Colin McFarlane",https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYzJhYTcxYzgtOTI3My00ZTI1LWI3NzAtZTljMTFjM2ViOGYzXkEyXkFqcGdeQWFuaW5vc2M@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYzJhYTcxYzgtOTI3My00ZTI1LWI3NzAtZTljMTFjM2ViOGYzXkEyXkFqcGdeQWFuaW5vc2M@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMDNjZDgzMmUtYTJkNS00ZDRlLWI5ZWUtNWJiYmEwNjFjZjc4XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMDNjZDgzMmUtYTJkNS00ZDRlLWI5ZWUtNWJiYmEwNjFjZjc4XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg,https://www.youtube.com/watch?v=neY2xVmOfUM,https://www.primevideo.com/detail/Batman-Begins/0OSAJR8S2YWRSQCYS4J8MEGEXI
The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson, Gwyneth Paltrow, Paul Bettany, Alexis Denisof, Tina Benko",https://m.media-amazon.com/images/M/MV5BNGE0YTVjNzUtNzJjOS00NGNlLTgxMzctZTY4YTE1Y2Y1ZTU4XkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTcwNTg1Nzg2MF5BMl5BanBnXkFtZTcwNDEwOTUwOA@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTcwNTg1Nzg2MF5BMl5BanBnXkFtZTcwNDEwOTUwOA@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYjdmOTI4ZTUtMGJhNy00MGEwLTljOTAtOTI3MDRmMGY3YzBkXkEyXkFqcGdeQW1hYXlhbg@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYjdmOTI4ZTUtMGJhNy00MGEwLTljOTAtOTI3MDRmMGY3YzBkXkEyXkFqcGdeQW1hYXlhbg@@._V1_.jpg,https://www.youtube.com/watch?v=eOrNdBpGMv8,https://www.disneyplus.com/movies/marvel-studios-the-avengers/2h6PcHFDbsPy
Star Wars: Episode IV - A New Hope,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley",https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTUzNDY0NjY4Nl5BMl5BanBnXkFtZTgwNjY4MTQ0NzE@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTUzNDY0NjY4Nl5BMl5BanBnXkFtZTgwNjY4MTQ0NzE@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYzA4MjQ4ZWEtOGM4Ny00NzA0LTgxN2YtODUxMTE2NWQ2YTgyXkEyXkFqcGdeQTNwaW5nZXN0._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYzA4MjQ4ZWEtOGM4Ny00NzA0LTgxN2YtODUxMTE2NWQ2YTgyXkEyXkFqcGdeQTNwaW5nZXN0._V1_.jpg,https://www.youtube.com/watch?v=vZ734NWnAHA,https://www.disneyplus.com/movies/star-wars-a-new-hope-episode-iv/12fVeZxD2fWJ
